Program,Year,Enrollees,Dropout
Bachelor of Secondary Education Mathematics,2020-2021,108,10
Bachelor of Secondary Education Mathematics,2021-2022,182,16
Bachelor of Secondary Education Mathematics,2022-2023,146,0
Bachelor of Secondary Education Mathematics,2023-2024,0,0
Bachelor of Secondary Education Science,2012-2013,0,0
Bachelor of Secondary Education Science,2013-2014,0,0
Bachelor of Secondary Education Science,2014-2015,0,0
Bachelor of Secondary Education Science,2015-2016,0,0
Bachelor of Secondary Education Science,2016-2017,0,0
Bachelor of Secondary Education Science,2017-2018,0,0
Bachelor of Secondary Education Science,2018-2019,38,6
Bachelor of Secondary Education Science,2019-2020,90,8
Bachelor of Secondary Education Science,2020-2021,166,6
Bachelor of Secondary Education Science,2021-2022,250,20
Bachelor of Secondary Education Science,2022-2023,196,2
Bachelor of Secondary Education Science,2023-2024,124,0
Bachelor of Secondary Education SAPT,2012-2013,0,0
Bachelor of Secondary Education SAPT,2013-2014,0,0
Bachelor of Secondary Education SAPT,2014-2015,0,0
Bachelor of Secondary Education SAPT,2015-2016,0,0
Bachelor of Secondary Education SAPT,2016-2017,21,0
Bachelor of Secondary Education SAPT,2017-2018,35,0
Bachelor of Secondary Education SAPT,2018-2019,49,0
Bachelor of Secondary Education SAPT,2019-2020,72,0
Bachelor of Secondary Education SAPT,2020-2021,36,0
Bachelor of Secondary Education SAPT,2021-2022,32,0
Bachelor of Secondary Education SAPT,2022-2023,27,0
Bachelor of Secondary Education SAPT,2023-2024,17,0
Bachelor of Science in Accountancy Technology (BSAct),2012-2013,65,0
Bachelor of Science in Accountancy Technology (BSAct),2013-2014,109,0
Bachelor of Science in Accountancy Technology (BSAct),2014-2015,93,0
Bachelor of Science in Accountancy Technology (BSAct),2015-2016,95,0
Bachelor of Science in Accountancy Technology (BSAct),2016-2017,66,0
Bachelor of Science in Accountancy Technology (BSAct),2017-2018,4,0
Bachelor of Science in Accountancy Technology (BSAct),2018-2019,0,1
Bachelor of Science in Accountancy Technology (BSAct),2019-2020,0,0
Bachelor of Science in Accountancy Technology (BSAct),2020-2021,0,0
Bachelor of Science in Accountancy Technology (BSAct),2021-2022,0,0
Bachelor of Science in Accountancy Technology (BSAct),2022-2023,0,0
Bachelor of Science in Accountancy Technology (BSAct),2023-2024,0,0
Bachelor of Science in Tourism Management (BSTM),2012-2013,0,0
Bachelor of Science in Tourism Management (BSTM),2013-2014,0,0
Bachelor of Science in Tourism Management (BSTM),2014-2015,0,0
Bachelor of Science in Tourism Management (BSTM),2015-2016,174,0
Bachelor of Science in Tourism Management (BSTM),2016-2017,164,0
Bachelor of Science in Tourism Management (BSTM),2017-2018,136,0
Bachelor of Science in Tourism Management (BSTM),2018-2019,250,21
Bachelor of Science in Tourism Management (BSTM),2019-2020,403,39
Bachelor of Science in Tourism Management (BSTM),2020-2021,870,72
Bachelor of Science in Tourism Management (BSTM),2021-2022,891,25
Bachelor of Science in Tourism Management (BSTM),2022-2023,817,26
Bachelor of Science in Tourism Management (BSTM),2023-2024,456,0
Diploma in Midwifery (MID),2012-2013,0,0
Diploma in Midwifery (MID),2013-2014,0,0
Diploma in Midwifery (MID),2014-2015,0,0
Diploma in Midwifery (MID),2015-2016,45,0
Diploma in Midwifery (MID),2016-2017,41,0
Diploma in Midwifery (MID),2017-2018,59,0
Diploma in Midwifery (MID),2018-2019,99,15
Diploma in Midwifery (MID),2019-2020,75,10
Diploma in Midwifery (MID),2020-2021,170,25
Diploma in Midwifery (MID),2021-2022,196,26
Diploma in Midwifery (MID),2022-2023,295,12
Diploma in Midwifery (MID),2023-2024,64,0
Bachelor of Science in Accounting Information System (BSAIS),2012-2013,0,0
Bachelor of Science in Accounting Information System (BSAIS),2013-2014,0,0
Bachelor of Science in Accounting Information System (BSAIS),2014-2015,0,0
Bachelor of Science in Accounting Information System (BSAIS),2015-2016,0,0
Bachelor of Science in Accounting Information System (BSAIS),2016-2017,0,0
Bachelor of Science in Accounting Information System (BSAIS),2017-2018,0,0
Bachelor of Science in Accounting Information System (BSAIS),2018-2019,86,6
Bachelor of Science in Accounting Information System (BSAIS),2019-2020,283,7
Bachelor of Science in Accounting Information System (BSAIS),2020-2021,650,12
